Timestamp,Origin,Destination,Price,Currency
2026-04-07 13:55:37,Provo Municipal Airport,Dallas-Fort Worth International Airport,325.0,USD
2026-04-07 13:55:51,Provo Municipal Airport,Dallas-Fort Worth International Airport,325.0,USD
2026-04-07 14:00:39,Provo Municipal Airport,Dallas-Fort Worth International Airport,325.0,USD
2026-04-07 14:03:29,PVU,DFW,649.0,American Airlines,American Airlines
2026-04-07 14:03:50,PVU,DFW,649.0,American Airlines,American Airlines
2026-04-07 14:06:08,Trip 1: May 19-20 (May Pivot),649.0,American Airlines,American Airlines,13:32
2026-04-07 14:06:09,Trip 2: Apr 7-14 (Original Window),391.0,American Airlines,American Airlines,13:32
2026-04-07 14:06:11,Trip 3: Apr 7-14 (SLC Alternative),423.0,American Airlines,American Airlines,10:34
2026-04-07 14:06:27,Trip 1: May 19-20 (May Pivot),649.0,American Airlines,American Airlines,13:32
2026-04-07 14:06:28,Trip 2: Apr 7-14 (Original Window),391.0,American Airlines,American Airlines,13:32
2026-04-07 14:06:29,Trip 3: Apr 7-14 (SLC Alternative),423.0,American Airlines,American Airlines,10:34
2026-04-07 15:42:29,Trip 1: May 19-20 (May Pivot),649.0,American Airlines,American Airlines,13:32
2026-04-07 15:42:31,Trip 2: Apr 7-14 (Original Window),391.0,American Airlines,American Airlines,13:32
2026-04-07 15:42:34,Trip 3: Apr 7-14 (SLC Alternative),423.0,American Airlines,American Airlines,10:34
2026-04-07 16:10:25,Trip 1: May 19-20 (May Pivot),649.0,American Airlines,American Airlines,13:32
2026-04-07 16:10:29,Trip 3: Apr 7-14 (SLC Alternative),1050.0,Delta Air Lines,Delta Air Lines,10:15
2026-04-07 16:13:21,Trip 1: May 19-20 (May Pivot),649.0,American Airlines,American Airlines,13:32
2026-04-07 16:13:23,Trip 3: Apr 7-14 (SLC Alternative),1050.0,Delta Air Lines,Delta Air Lines,10:15
2026-04-08 09:55:10,Trip 1: May 19-20 (May Pivot),649.0,American Airlines,American Airlines,13:32
2026-04-08 10:00:30,Trip 1: May 19-20 (May Pivot),649.0,American Airlines,American Airlines,13:32
2026-04-08 10:01:17,Trip 1: May 19-20 (May Pivot),649.0,American Airlines,American Airlines,13:32
2026-04-08 10:01:19,Trip 2: Apr 8-14 (PVU Window),391.0,American Airlines,American Airlines,13:32
2026-04-08 10:01:21,Trip 3: Apr 8-14 (SLC Window),423.0,American Airlines,American Airlines,10:34
2026-04-09 14:16:03,Trip 1: May 19-20 (May Pivot),649.0,American Airlines,American Airlines,13:32
2026-04-09 14:17:13,Trip 1: May 19-20 (May Pivot),649.0,American Airlines,American Airlines,13:32
2026-04-09 14:17:14,Trip 2: Apr 9-14 (PVU Window),416.0,American Airlines,American Airlines,13:32
2026-04-09 14:17:15,Trip 3: Apr 9-14 (SLC Window),459.0,American Airlines,American Airlines,10:34
2026-04-10 10:23:20,Trip 1: May 19-20 (May Pivot),649.0,American Airlines,American Airlines,13:32
2026-04-13 11:40:00,Trip 1: May 19-20 (May Pivot),649.0,American Airlines,American Airlines,13:32
2026-04-13 11:41:30,Trip 1: May 19-20 (May Pivot),649.0,American Airlines,American Airlines,13:32
2026-04-13 11:41:31,Trip 2: Apr 15-19 (PVU Window),416.0,American Airlines,American Airlines,13:32
